host_since,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,amenities,square_feet,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,property_type_apartment,property_type_bed_&_breakfast,property_type_boat,property_type_bungalow,property_type_cabin,property_type_camper/rv,property_type_castle,property_type_cave,property_type_chalet,property_type_condominium,property_type_dorm,property_type_earth_house,property_type_entire_floor,property_type_guesthouse,property_type_house,property_type_hut,property_type_lighthouse,property_type_loft,property_type_other,property_type_parking_space,property_type_plane,property_type_tent,property_type_tipi,property_type_townhouse,property_type_train,property_type_treehouse,property_type_villa,property_type_yurt,room_type_entire_home/apt,room_type_private_room,room_type_shared_room,bed_type_airbed,bed_type_couch,bed_type_futon,bed_type_pull-out_sofa,bed_type_real_bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_no_refunds,cancellation_policy_strict,cancellation_policy_super_strict_60
49,0,0,0,1,6,1,1,34.04206443,-118.2532204,1,3,1,1,1,18,0,180,0,15,1,0,2,2,0,0,0,0,2,100,10,10,10,10,10,10,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
35,1,1,1,1,4,1,1,34.09483054,-118.2644041,1,3,1,2,2,10,0,225,0,80,1,0,3,1125,0,0,15,283,38,99,10,9,10,10,10,10,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
52,0.87,0.93,0,1,4,1,1,34.11247523,-118.3364378,1,2,1,1,1,12,0,102,0,20,2,20,1,5,22,52,80,355,41,94,10,9,10,10,10,9,0,1.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
29,1,1,0,1,6,1,1,34.06455122,-118.4951368,0,3,1,1,2,14,0,330,0,0,1,0,1,1125,29,59,89,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
31,0.75,1,0,1,3,1,0,33.98847795,-118.4411853,1,2,1,1,1,23,0,125,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
8,0,0,0,1,5,1,1,34.08636554,-118.3107836,1,2,1,1,1,17,0,50,0,0,1,0,1,1125,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6,0,1,0,1,1,1,0,33.92738545,-118.2697351,1,2,2,1,2,13,0,50,100,20,1,0,5,1125,28,58,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3,0,0,0,1,2,1,0,34.06783664,-118.3492394,1,2,1.5,1,1,17,0,350,0,0,1,0,1,1125,29,29,29,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
26,0,0,0,1,5,1,1,34.04959846,-118.4633752,1,1,1,1,1,17,0,100,445,0,1,0,1,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
17,1,0.9,0,1,6,1,1,34.08844529,-118.3551676,1,3,1,1,1,17,0,65,0,0,1,15,1,1125,1,3,33,308,21,88,9,9,9,9,9,9,0,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3,1,0,0,1,2,1,0,33.85585933,-118.124111,1,2,1,1,1,10,0,65,0,0,1,0,1,25,30,60,90,365,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
46,0.86,1,0,1,4,1,1,34.09464909,-118.2777167,1,3,1,1,1,14,0,80,0,30,1,0,1,1125,1,1,5,6,8,91,9,10,10,10,9,9,0,1.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
71,1,0,0,1,3,1,0,34.09362551,-118.370334,1,2,1,1,1,9,0,95,500,50,1,0,5,1125,29,59,89,89,1,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
27,0,0,0,1,2,1,0,34.06964537,-118.3572176,1,1,1,1,1,22,0,80,750,30,1,0,30,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3,0,0,0,1,1,1,0,34.06040147,-118.4390022,0,4,2,1,2,22,0,132,0,0,1,0,10,1125,12,42,72,347,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
8,0,0,0,1,4,1,1,34.15897391,-118.4099106,1,2,1,1,1,24,0,80,100,25,1,0,1,7,29,39,39,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
3,0,0,0,1,4,1,1,34.17419018,-118.438485,1,1,1,1,1,19,0,40,0,30,1,0,1,1125,18,48,78,83,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
44,0.9,1,0,1,4,1,0,34.15261459,-118.6420978,1,2,1,1,1,12,0,48,100,5,1,10,2,120,14,43,68,343,5,96,10,10,10,10,10,10,0,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
3,0,0,0,1,2,1,0,34.06172218,-118.2934099,1,1,0.5,1,1,8,0,169,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
42,1,1,1,1,5,1,1,34.0867933,-118.2841119,1,2,1,0,1,7,0,100,0,5,1,0,2,1125,0,0,0,0,6,90,9,8,10,10,9,8,0,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
4,1,0.9,0,1,5,1,1,34.11840787,-118.3148354,1,8,3.5,4,4,24,0,518,500,150,8,25,2,31,13,30,32,32,1,100,10,10,10,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
17,0,0,0,1,4,1,1,34.07952839,-118.3280938,1,1,1,1,1,19,0,88,0,65,1,0,1,30,30,60,90,365,1,20,6,8,10,8,6,4,0,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
3,0,0,0,1,1,1,0,34.02834279,-118.2734179,1,1,1,1,1,21,0,50,0,0,1,0,1,4,0,1,31,31,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
68,1,0.78,1,1,4,1,1,34.00223973,-118.4193106,1,2,1,0,1,2,0,80,200,60,2,0,2,10,12,34,64,64,19,95,10,9,10,10,10,9,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
34,1,0.93,0,1,4,1,1,34.15053969,-118.4632035,1,2,1,0,1,23,0,88,0,49,2,30,1,1125,14,14,14,260,19,100,10,10,10,10,10,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
4,1,1,0,1,5,1,1,34.11533629,-118.3245984,1,10,6,5,5,24,0,1275,2000,250,1,0,5,1125,15,45,75,350,1,100,10,10,10,10,10,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
4,0.92,0.83,0,1,4,1,0,34.05542089,-118.2829587,0,2,1,1,1,10,0,100,0,0,1,0,2,10,30,60,90,365,3,100,10,10,10,10,8,10,0,2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10,1,1,0,1,4,1,1,34.01943072,-118.3862031,1,4,1,0,2,15,0,125,100,60,2,25,1,7,14,14,14,14,6,100,10,10,10,10,10,10,0,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25,0,0,0,1,4,1,1,33.99789987,-118.4730642,1,2,1,1,1,9,0,180,0,80,1,0,3,1125,0,0,0,0,5,96,10,10,10,10,10,10,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
25,1,0.83,0,1,2,1,0,34.05996758,-118.3967245,0,5,2,2,3,22,0,175,1000,0,3,0,2,1125,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
20,1,1,1,1,3,1,0,34.0671299,-118.3796456,1,2,1,0,1,18,0,149,500,80,2,35,3,1125,13,43,73,348,7,97,10,10,10,10,10,9,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
7,1,0.95,1,1,4,1,1,33.96074943,-118.3850267,1,2,1,1,2,17,0,65,100,15,1,15,1,7,12,12,38,38,25,99,10,10,10,10,10,10,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
10,1,1,0,1,3,1,0,34.0492507,-118.4599683,1,2,1,1,1,23,0,135,0,80,1,0,3,1125,9,9,9,9,1,80,10,8,10,10,10,10,0,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
19,1,0.92,1,2,4,1,1,34.00130739,-118.471859,1,4,2,3,3,15,0,500,750,250,1,0,2,7,13,43,73,348,3,93,9,10,10,10,9,9,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
11,1,0.67,0,1,4,1,1,34.20964111,-118.6489027,1,2,1,1,1,19,0,95,0,0,1,0,2,1125,28,58,88,363,6,97,10,9,10,10,10,10,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
37,0.8,1,0,1,3,1,0,34.05415098,-118.3970901,1,2,1,1,1,16,0,100,0,50,2,25,1,1125,3,3,3,3,1,60,10,6,10,6,10,6,0,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
22,0.81,0.79,0,1,4,1,1,33.99251953,-118.4700173,1,2,1,0,1,10,0,184,200,56,1,0,2,1125,1,31,61,336,46,88,9,9,9,10,10,9,0,2.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
52,1,0,0,1,4,1,1,34.09737913,-118.3552772,1,2,1,1,1,12,0,139,250,60,1,0,2,1125,30,60,90,365,7,97,10,10,10,10,9,10,0,0.34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
52,0,0,0,1,5,1,1,34.13351235,-118.1454818,1,3,1,1,1,20,0,120,0,40,2,10,4,364,20,20,25,239,1,100,10,8,10,10,10,10,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
